Directors Guild Nominations and Winners for best Director from 1948,,,
Year,d nominees,Film,Ref.
1960,Charles Walters,Please Don't Eat the Daisies,Nominee
1960,Delbert Mann,The Dark at the Top of the Stairs,Nominee
1960,Lewis Gilbert,Sink the Bismarck!,Nominee
1960,Richard Brooks,Elmer Gantry,Nominee
1960,Vincent J. Donehue,Sunrise at Campobello,Nominee
1960,Walter Lang,Can-Can,Nominee
1961,Robert Wise and Jerome Robbins,West Side Story,Winner
1961,Anthony Mann,El Cid,Nominee
1961,Daniel Petrie,A Raisin in the Sun,Nominee
1961,Elia Kazan,Splendor in the Grass,Nominee
1961,Frank Capra,Pocketful of Miracles,Nominee
1961,Henry Koster,Flower Drum Song,Nominee
1961,Jack Clayton,The Innocents,Nominee
1961,John Huston,The Misfits,Nominee
1961,Joshua Logan,Fanny,Nominee
1961,Marlon Brando,One-Eyed Jacks,Nominee
1961,Mervyn LeRoy,A Majority of One,Nominee
1961,Peter Glenville,Summer and Smoke,Nominee
1961,Peter Ustinov,Romanoff and Juliet,Nominee
1961,Philip Leacock,Hand in Hand,Nominee
1961,Robert Mulligan,The Great Impostor,Nominee
1961,Robert Stevenson,The Absent-Minded Professor,Nominee
1961,Stanley Kramer,Judgment at Nuremberg,Nominee
1961,William Wyler,The Children's Hour,Nominee
1962,David Lean,Lawrence of Arabia,Winner
1962,Arthur Penn,The Miracle Worker,Nominee
1962,Lewis Milestone,Mutiny on the Bounty,Nominee
1962,Morton DaCosta,The Music Man,Nominee
1962,Ralph Nelson,Requiem for a Heavyweight,Nominee
1962,Robert Aldrich,What Ever Happened to Baby Jane?,Nominee
1962,Robert Mulligan,To Kill a Mockingbird,Nominee
1962,Stanley Kubrick,Lolita,Nominee
1962,Tony Richardson,A Taste of Honey,Nominee
1963,Tony Richardson,Tom Jones,Winner
1963,Elia Kazan,America America,Nominee
1963,Federico Fellini,8½,Nominee
1963,Martin Ritt,Hud,Nominee
1963,Ralph Nelson,Lilies of the Field,Nominee
1964,George Cukor,My Fair Lady,Winner
1964,John Huston,The Night of the Iguana,Nominee
1964,Peter Glenville,Becket,Nominee
1964,Robert Stevenson,Mary Poppins,Nominee
1964,Stanley Kubrick,Dr. Strangelove,Nominee
1965,Robert Wise,The Sound of Music,Winner
1965,Elliot Silverstein,Cat Ballou,Nominee
1965,John Schlesinger,Darling,Nominee
1965,Sidney J. Furie,The Ipcress File,Nominee
1965,Sidney Lumet,The Pawnbroker,Nominee
1966,Fred Zinnemann,A Man for All Seasons,Winner
1966,Claude Lelouch,A Man and a Woman,Nominee
1966,James Hill,Born Free,Nominee
1966,John Frankenheimer,Grand Prix,Nominee
1966,Lewis Gilbert,Alfie,Nominee
1966,Mike Nichols,Who's Afraid of Virginia Woolf?,Nominee
1966,Norman Jewison,"The Russians Are Coming, the Russians Are Coming",Nominee
1966,Richard Brooks,The Professionals,Nominee
1966,Robert Wise,The Sand Pebbles,Nominee
1966,Silvio Narizzano,Georgy Girl,Nominee
1967,Mike Nichols,The Graduate,Winner
1967,Arthur Penn,Bonnie and Clyde,Nominee
1967,James Clavell,"To Sir, with Love",Nominee
1967,Joseph Strick,Ulysses,Nominee
1967,Norman Jewison,In the Heat of the Night,Nominee
1967,Richard Brooks,In Cold Blood,Nominee
1967,Robert Aldrich,The Dirty Dozen,Nominee
1967,Stanley Donen,Two for the Road,Nominee
1967,Stanley Kramer,Guess Who's Coming to Dinner,Nominee
1967,Stuart Rosenberg,Cool Hand Luke,Nominee
1968,Anthony Harvey,The Lion in Winter,Winner
1968,Carol Reed,Oliver!,Nominee
1968,Franco Zeffirelli,Romeo and Juliet,Nominee
1968,Gene Saks,The Odd Couple,Nominee
1968,Jiří Menzel,Closely Watched Trains,Nominee
1968,Paul Almond,Isabel,Nominee
1968,Paul Newman,"Rachel, Rachel",Nominee
1968,Roman Polanski,Rosemary's Baby,Nominee
1968,Stanley Kubrick,2001: A Space Odyssey,Nominee
1968,William Wyler,Funny Girl,Nominee
1969,John Schlesinger,Midnight Cowboy,Winner
1969,Costa-Gavras,Z,Nominee
1969,Dennis Hopper,Easy Rider,Nominee
1969,Gene Kelly,"Hello, Dolly!",Nominee
1969,George Roy Hill,Butch Cassidy and the Sundance Kid,Nominee
1969,Haskell Wexler,Medium Cool,Nominee
1969,Larry Peerce,"Goodbye, Columbus",Nominee
1969,Richard Attenborough,Oh! What a Lovely War,Nominee
1969,Sam Peckinpah,The Wild Bunch,Nominee
1969,Sydney Pollack,"They Shoot Horses, Don't They?",Nominee
1970,Franklin J. Schaffner,Patton,Winner
1970,Arthur Hiller,Love Story,Nominee
1970,Bob Rafelson,Five Easy Pieces,Nominee
1970,David Lean,Ryan's Daughter,Nominee
1970,Robert Altman,M*A*S*H,Nominee
1971,William Friedkin,The French Connection,Winner
1971,John Schlesinger,Sunday Bloody Sunday,Nominee
1971,Peter Bogdanovich,The Last Picture Show,Nominee
1971,Robert Mulligan,Summer of '42,Nominee
1971,Stanley Kubrick,A Clockwork Orange,Nominee
1972,Francis Ford Coppola,The Godfather,Winner
1972,Bob Fosse,Cabaret,Nominee
1972,George Roy Hill,Slaughterhouse-Five,Nominee
1972,John Boorman,Deliverance,Nominee
1972,Martin Ritt,Sounder,Nominee
1973,George Roy Hill,The Sting,Winner
1973,Bernardo Bertolucci,Last Tango in Paris,Nominee
1973,George Lucas,American Graffiti,Nominee
1973,Sidney Lumet,Serpico,Nominee
1973,William Friedkin,The Exorcist,Nominee
